,Date,Open,High,Low,Close,Adj Close,Volume
0,2000-08-11,408.0,448.0,384.0,420.0,332.2545471191406,792528
1,2000-08-14,419.0,420.0,384.0,384.0,303.77545166015625,80228
2,2000-08-15,389.0,396.0,384.0,388.0,306.93988037109375,48422
3,2000-08-16,386.0,418.0,386.0,396.0,313.26849365234375,42166
4,2000-08-17,392.0,400.0,382.0,384.0,303.77545166015625,47247
5,2000-08-18,401.0,460.0,396.0,458.0,362.315673828125,60400
6,2000-08-21,482.0,520.0,446.0,486.0,384.4659118652344,66547
7,2000-08-22,492.0,502.0,432.0,432.0,341.74755859375,33878
8,2000-08-23,434.0,440.0,408.0,416.0,329.0901794433594,17925
9,2000-08-24,414.0,418.0,386.0,386.0,305.35772705078125,18441
10,2000-08-25,402.0,414.0,388.0,412.0,325.9258117675781,20113
11,2000-08-28,429.0,433.5,400.0,420.0,332.2545471191406,19491
12,2000-08-29,430.0,432.0,404.0,428.0,338.5832214355469,22728
13,2000-08-30,427.0,470.0,424.0,454.0,359.15130615234375,19891
14,2000-08-31,482.0,528.0,476.0,518.0,409.78057861328125,87397
15,2000-09-01,516.0,520.0,480.0,504.0,398.70538330078125,27738
16,2000-09-05,506.0,520.0,496.0,498.0,393.95892333984375,23025
17,2000-09-06,516.0,520.0,488.0,496.0,392.3767395019531,20559
18,2000-09-07,512.0,512.0,428.0,460.0,363.8977966308594,23959
19,2000-09-08,456.5,464.0,440.0,448.0,354.4048156738281,15956
20,2000-09-11,442.0,448.0,432.0,444.0,351.2405090332031,34547
21,2000-09-12,435.0,442.0,412.0,416.0,329.0901794433594,33853
22,2000-09-13,408.0,420.0,396.0,400.0,316.432861328125,10363
23,2000-09-14,444.0,444.0,400.0,406.0,321.1793212890625,8109
24,2000-09-15,402.0,416.0,400.0,402.0,318.0150451660156,3600
25,2000-09-18,420.0,424.0,382.0,386.0,305.35772705078125,18659
26,2000-09-19,419.0,420.0,344.0,360.0,284.78961181640625,48038
27,2000-09-20,368.0,370.0,312.0,332.0,262.6393127441406,24103
28,2000-09-21,330.0,344.0,326.0,340.0,268.9679870605469,25247
29,2000-09-22,307.0,346.0,302.0,338.0,267.3857116699219,8456
30,2000-09-25,340.0,346.0,300.0,302.0,238.9068145751953,21066
31,2000-09-26,316.0,318.0,288.0,296.0,234.1603546142578,19634
32,2000-09-27,301.0,302.0,276.0,299.0,236.53359985351562,16756
33,2000-09-28,296.0,344.0,292.0,320.0,253.1463165283203,22041
34,2000-09-29,323.0,324.0,279.0,284.0,224.6673583984375,19125
35,2000-10-02,300.0,301.0,268.0,272.0,215.17433166503906,6888
36,2000-10-03,275.0,284.0,248.0,254.0,200.93487548828125,10128
37,2000-10-04,256.0,258.0,216.0,228.0,180.3667449951172,14600
38,2000-10-05,222.0,260.0,208.0,210.0,166.1272735595703,15178
39,2000-10-06,222.5,224.0,190.0,195.0,154.26100158691406,11413
40,2000-10-09,210.0,214.0,185.0,198.0,156.63424682617188,10650
41,2000-10-10,202.0,204.0,176.0,182.0,143.9769744873047,13291
42,2000-10-11,168.0,184.0,130.0,132.0,104.42288208007812,42488
43,2000-10-12,163.0,168.0,144.0,166.0,131.3196563720703,37297
44,2000-10-13,182.0,252.0,177.0,242.0,191.44190979003906,42863
45,2000-10-16,260.0,262.0,236.0,260.0,205.68141174316406,38531
46,2000-10-17,272.0,274.0,244.0,250.0,197.77052307128906,11047
47,2000-10-18,248.0,268.0,190.0,258.0,204.09921264648438,19303
48,2000-10-19,272.0,298.0,216.0,221.0,174.82911682128906,25997
49,2000-10-20,240.0,240.0,224.0,234.0,185.11322021484375,21797
50,2000-10-23,236.0,269.0,228.0,264.0,208.84576416015625,17800
51,2000-10-24,265.5,272.0,260.0,270.0,213.59219360351562,19788
52,2000-10-25,267.5,272.0,252.0,272.0,215.17433166503906,13225
53,2000-10-26,271.0,308.0,270.0,290.0,229.4138946533203,8788
54,2000-10-27,291.5,292.0,276.0,288.0,227.8316650390625,3381
55,2000-10-30,286.0,300.0,276.0,286.0,226.24948120117188,7650
56,2000-10-31,292.0,328.0,280.0,312.0,246.81768798828125,10488
57,2000-11-01,311.5,336.0,306.0,312.0,246.81768798828125,11591
58,2000-11-02,311.5,316.0,284.0,296.0,234.1603546142578,7863
59,2000-11-03,287.0,302.0,287.0,292.0,230.99594116210938,7700
60,2000-11-06,296.0,300.0,278.0,284.0,224.6673583984375,9731
61,2000-11-07,288.0,288.0,280.0,284.0,224.6673583984375,6675
62,2000-11-08,284.0,284.0,241.0,258.0,204.09921264648438,20909
63,2000-11-09,240.0,256.0,240.0,253.0,200.14376831054688,12606
64,2000-11-10,244.5,248.0,238.0,238.0,188.27757263183594,18113
65,2000-11-13,222.0,226.0,218.0,226.0,178.7845458984375,13725
66,2000-11-14,225.0,234.0,208.0,212.0,167.7093963623047,15722
67,2000-11-15,220.0,222.0,202.0,202.0,159.79861450195312,20422
68,2000-11-16,208.5,212.0,200.0,203.0,160.58966064453125,3903
69,2000-11-17,219.0,220.0,204.0,212.0,167.7093963623047,14125
70,2000-11-20,209.0,210.0,202.0,202.0,159.79861450195312,5497
71,2000-11-21,203.0,208.0,198.0,198.0,156.63424682617188,8266
72,2000-11-22,200.0,200.0,192.0,192.0,151.88772583007812,11475
73,2000-11-24,194.5,196.0,192.0,193.0,152.67886352539062,1819
74,2000-11-27,204.0,212.0,190.0,192.0,151.88772583007812,5253
75,2000-11-28,196.0,196.0,172.0,174.0,137.64828491210938,3931
76,2000-11-29,174.0,178.0,144.0,156.0,123.40884399414062,17034
77,2000-11-30,152.0,155.0,136.0,140.0,110.7514877319336,10675
78,2000-12-01,140.0,162.0,139.0,154.0,121.82665252685547,6878
79,2000-12-04,155.0,164.0,155.0,158.0,124.990966796875,2400
80,2000-12-05,162.5,166.0,156.0,162.0,128.15528869628906,4709
81,2000-12-06,161.0,162.0,146.0,154.0,121.82665252685547,5175
82,2000-12-07,153.0,166.0,144.0,144.0,113.91583251953125,13638
83,2000-12-08,152.0,192.0,152.0,176.0,139.23049926757812,5741
84,2000-12-11,177.0,186.0,176.0,176.0,139.23049926757812,2597
85,2000-12-12,181.5,234.0,176.0,212.0,167.7093963623047,10088
86,2000-12-13,235.5,244.0,220.0,226.0,178.7845458984375,6697
87,2000-12-14,233.5,234.0,218.0,224.0,177.20240783691406,4953
88,2000-12-15,222.5,225.5,214.0,214.0,169.29161071777344,2538
89,2000-12-18,227.0,228.0,180.0,187.0,147.9324188232422,3103
90,2000-12-19,173.0,190.0,164.0,178.0,140.81265258789062,5059
91,2000-12-20,176.0,178.5,150.0,156.0,123.40884399414062,8256
92,2000-12-21,144.0,148.0,126.0,130.0,102.84070587158203,16756
93,2000-12-22,146.5,148.0,128.0,128.0,101.25850677490234,14159
94,2000-12-26,130.0,142.0,122.0,126.0,99.67634582519531,10953
95,2000-12-27,126.0,128.0,112.0,122.0,96.51202392578125,6916
96,2000-12-28,120.0,122.0,104.0,112.0,88.60120391845703,30813
97,2000-12-29,111.0,152.0,110.0,140.0,110.7514877319336,16788
98,2001-01-02,141.5,142.0,108.0,114.0,90.1833724975586,13525
99,2001-01-03,110.0,144.0,104.0,116.0,91.76554107666016,26134
100,2001-01-04,125.5,134.0,112.0,116.0,91.76554107666016,9791
101,2001-01-05,120.0,130.0,114.0,128.0,101.25850677490234,5069
102,2001-01-08,128.0,130.0,120.0,126.0,99.67634582519531,5200
103,2001-01-09,128.0,128.0,114.0,119.0,94.13878631591797,2313
104,2001-01-10,121.0,124.0,114.0,122.0,96.51202392578125,5628
105,2001-01-11,122.0,130.0,115.0,124.0,98.09418487548828,7794
106,2001-01-12,125.5,148.0,125.5,148.0,117.0801773071289,17147
107,2001-01-16,152.0,168.0,144.0,160.0,126.57315826416016,6475
108,2001-01-17,168.0,192.0,166.0,180.0,142.39480590820312,6963
109,2001-01-18,189.5,196.0,184.0,186.0,147.14125061035156,6850
110,2001-01-19,188.0,194.0,184.0,188.0,148.72344970703125,9156
111,2001-01-22,192.0,200.0,184.0,192.0,151.88772583007812,8409
112,2001-01-23,192.5,208.0,190.0,204.0,161.38076782226562,4269
113,2001-01-24,216.5,240.0,202.0,224.0,177.20240783691406,13166
114,2001-01-25,222.0,224.0,208.0,208.0,164.5450897216797,5769
115,2001-01-26,190.0,196.0,176.0,192.0,151.88772583007812,7822
116,2001-01-29,197.0,204.0,192.0,194.0,153.46994018554688,2884
117,2001-01-30,198.0,198.0,188.0,190.0,150.30557250976562,2569
118,2001-01-31,193.5,200.0,184.0,190.0,150.30557250976562,8288
119,2001-02-01,190.0,198.0,189.0,192.0,151.88772583007812,1569
120,2001-02-02,192.0,194.0,188.0,192.0,151.88772583007812,1241
121,2001-02-05,191.0,191.0,172.0,172.0,136.06614685058594,2234
122,2001-02-06,160.0,173.0,156.0,169.0,133.69285583496094,3241
123,2001-02-07,169.0,196.0,166.0,196.0,155.05209350585938,4134
